city_name,city_page_url,price_trend_url
changlang,https://housing.com/in/buy/real-estate-changlang,https://housing.com/price-trends/property-rates-for-buy-in-changlang_arunachal_pradesh-P62otangh4d4ai2zf
charkhi_dadri,https://housing.com/in/buy/real-estate-charkhi_dadri,https://housing.com/price-trends/property-rates-for-buy-in-charkhi_dadri_haryana-P85vmbg7jhhkrx7m
chatra,https://housing.com/in/buy/real-estate-chatra,https://housing.com/price-trends/property-rates-for-buy-in-chatra_jharkhand-P6d798nzpku7yecya
chhapra_1,https://housing.com/in/buy/real-estate-chhapra_1,https://housing.com/price-trends/property-rates-for-buy-in-chhapra_bihar-P6wabfqdmylp6hsrq
chhatarpur,https://housing.com/in/buy/real-estate-chhatarpur,https://housing.com/price-trends/property-rates-for-buy-in-chhatarpur_madhya_pradesh-P50myln49p6cqh28x
chhindwara,https://housing.com/in/buy/real-estate-chhindwara,https://housing.com/price-trends/property-rates-for-buy-in-chhindwara_madhya_pradesh-P2t54v24svjdxzure
chhota_udepur,https://housing.com/in/buy/real-estate-chhota_udepur,https://housing.com/price-trends/property-rates-for-buy-in-chhota_udepur_gujarat-Pu439emegmjucg8z
chickmagaluru,https://housing.com/in/buy/real-estate-chickmagaluru,https://housing.com/price-trends/property-rates-for-buy-in-chikmagalur_karnataka-P8mktgtr1ig94b32
chiplun,https://housing.com/in/buy/real-estate-chiplun,https://housing.com/price-trends/property-rates-for-buy-in-chiplun_maharashtra-P2vq0lhmcnq00t50l
chirang,https://housing.com/in/buy/real-estate-chirang,https://housing.com/price-trends/property-rates-for-buy-in-chirang_assam-P3s8zchy6fi3tk14t
chitradurga,https://housing.com/in/buy/real-estate-chitradurga,https://housing.com/price-trends/property-rates-for-buy-in-chitradurga_karnataka-P5p26vqm0a7hbxt0z
chitrakoot,https://housing.com/in/buy/real-estate-chitrakoot,https://housing.com/price-trends/property-rates-for-buy-in-chitrakoot_uttar_pradesh-P32lgzanwsk8jk0ln
chittoor,https://housing.com/in/buy/real-estate-chittoor,https://housing.com/price-trends/property-rates-for-buy-in-chittoor_andhra_pradesh-P6h0nt9p8opn13j1j
chittorgarh,https://housing.com/in/buy/real-estate-chittorgarh,https://housing.com/price-trends/property-rates-for-buy-in-chittorgarh_rajasthan-P6kjacnf9ljtugsh9
churachandpur,https://housing.com/in/buy/real-estate-churachandpur,https://housing.com/price-trends/property-rates-for-buy-in-churachandpur_manipur-P1ij60f98q963y1yc
churu,https://housing.com/in/buy/real-estate-churu,https://housing.com/price-trends/property-rates-for-buy-in-churu_rajasthan-P71ez58lfhpwm4c6t
coimbatore,https://housing.com/in/buy/real-estate-coimbatore,https://housing.com/price-trends/property-rates-for-buy-in-coimbatore_tamil_nadu-P31idr9pwh1nucety
cooch_behar,https://housing.com/in/buy/real-estate-cooch_behar,https://housing.com/price-trends/property-rates-for-buy-in-cooch_behar_west_bengal-Pmufs2bjory6sx4z
cuddalore,https://housing.com/in/buy/real-estate-cuddalore,https://housing.com/price-trends/property-rates-for-buy-in-cuddalore_tamil_nadu-P1eqxbxnq3ndkpz9h
cuttack,https://housing.com/in/buy/real-estate-cuttack,https://housing.com/price-trends/property-rates-for-buy-in-cuttack_odisha-Pv9x4j3p81ypo1sg
dadra_and_nagar_haveli,https://housing.com/in/buy/real-estate-dadra_and_nagar_haveli,https://housing.com/price-trends/property-rates-for-buy-in-dadra_and_nagar_haveli_india-P2qpdvq5dfpr2no82
dahod,https://housing.com/in/buy/real-estate-dahod,https://housing.com/price-trends/property-rates-for-buy-in-dahod_gujarat-P5i2lgx8urcndjj4c
dakshin_dinajpur,https://housing.com/in/buy/real-estate-dakshin_dinajpur,https://housing.com/price-trends/property-rates-for-buy-in-dakshin_dinajpur_west_bengal-P2sah1quc1lrnpe83
dakshina_kannada_1,https://housing.com/in/buy/real-estate-dakshina_kannada_1,https://housing.com/price-trends/property-rates-for-buy-in-dakshina_kannada_karnataka-P620usdbo45qejqkr
daltonganj,https://housing.com/in/buy/real-estate-daltonganj,https://housing.com/price-trends/property-rates-for-buy-in-daltonganj_jharkhand-P4disinrxe6ustm69
